APOPTOSIS/SIGNALING PROTEIN	1	2LR1-B-A
APOPTOSIS/TRANSPORT PROTEIN	2	3WXA-C-A, 3WXA-D-B
APOPTOSIS/peptide	3	1OXN-F-E, 1OXQ-F-E, 1OY7-F-E
ASPARTYL PROTEASE	5	1HTR-P-B, 1AVF-P-A, 1AVF-Q-A, 1AVF-P-J, 1AVF-Q-J
ATP SYNTHASE	2	5FIL-I-G, 5FIL-I-H
Antibiotic/inhibitor	4	6GOS-A-1, 6GOS-A-2, 6GOS-A-C, 6GOS-A-D
Antimicrobial protein, viral protein	3	4F88-J-2, 4F88-J-I, 4F88-J-K
Apoptosis inhibitor/Apoptosis	2	2ZJD-B-A, 2ZJD-D-C
Apoptosis/Inhibitor	1	4G35-B-A
Apoptosis/PROTEIN BINDING	2	2M04-B-A, 4HNJ-C-A
BINDING PROTEIN	1	1OLA-B-A
BINDING PROTEIN/HYDROLASE	2	1NWD-B-A, 1NWD-C-A
